population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,5,Prevalence,75,Austria,1,Male,13,40-44 years,558,Mental disorders,2,Percent,2021,0.1426250879490197,0.1628615359884845,0.1262638997081692
1,All Population,5,Prevalence,75,Austria,2,Female,13,40-44 years,558,Mental disorders,2,Percent,2021,0.1571955093241443,0.1814294449362629,0.1369299799993631
1,All Population,5,Prevalence,75,Austria,1,Male,14,45-49 years,558,Mental disorders,2,Percent,2021,0.1367771321456433,0.1545370582541162,0.1229001779999849
1,All Population,5,Prevalence,75,Austria,2,Female,14,45-49 years,558,Mental disorders,2,Percent,2021,0.1510093923910405,0.1724124928369242,0.1332428430736533
1,All Population,5,Prevalence,75,Austria,1,Male,15,50-54 years,558,Mental disorders,2,Percent,2021,0.1312332983812285,0.1488787978570492,0.1163038887398495
1,All Population,5,Prevalence,75,Austria,2,Female,15,50-54 years,558,Mental disorders,2,Percent,2021,0.1460948675205639,0.1700357000388511,0.1270699746816003
1,All Population,5,Prevalence,75,Austria,1,Male,16,55-59 years,558,Mental disorders,2,Percent,2021,0.1255303117603337,0.1430116251951008,0.1099280790391844
1,All Population,5,Prevalence,75,Austria,2,Female,16,55-59 years,558,Mental disorders,2,Percent,2021,0.141171207973375,0.162867649892731,0.1213452340187993
1,All Population,5,Prevalence,75,Austria,1,Male,17,60-64 years,558,Mental disorders,2,Percent,2021,0.1206284733104779,0.138855592664968,0.1059051671608358
1,All Population,5,Prevalence,75,Austria,2,Female,17,60-64 years,558,Mental disorders,2,Percent,2021,0.1370963511260582,0.159878877424852,0.1190671487603199
1,All Population,5,Prevalence,75,Austria,1,Male,18,65-69 years,558,Mental disorders,2,Percent,2021,0.1168048782316501,0.1365520252318451,0.1031539657452151
1,All Population,5,Prevalence,75,Austria,2,Female,18,65-69 years,558,Mental disorders,2,Percent,2021,0.1343568851776716,0.1565136246594812,0.1177706042177592
1,All Population,5,Prevalence,75,Austria,1,Male,19,70-74 years,558,Mental disorders,2,Percent,2021,0.1130319003846438,0.1337761846028201,0.0971875748752986
1,All Population,5,Prevalence,75,Austria,2,Female,19,70-74 years,558,Mental disorders,2,Percent,2021,0.1309186124011343,0.1596595331128373,0.1124002329655979
1,All Population,5,Prevalence,75,Austria,1,Male,20,75-79 years,558,Mental disorders,2,Percent,2021,0.1091814458867016,0.1321011951680863,0.0947560013213575
1,All Population,5,Prevalence,75,Austria,2,Female,20,75-79 years,558,Mental disorders,2,Percent,2021,0.1273922275498794,0.1588107909545773,0.1080817179125376
1,All Population,5,Prevalence,75,Austria,1,Male,30,80-84 years,558,Mental disorders,2,Percent,2021,0.1057026307391294,0.1256679687245889,0.0903691926960298
1,All Population,5,Prevalence,75,Austria,2,Female,30,80-84 years,558,Mental disorders,2,Percent,2021,0.1240964862111485,0.1509202690009811,0.1045314465421994
1,All Population,5,Prevalence,75,Austria,1,Male,31,85-89 years,558,Mental disorders,2,Percent,2021,0.1038381469708073,0.1232513709902341,0.0900588810465068
1,All Population,5,Prevalence,75,Austria,2,Female,31,85-89 years,558,Mental disorders,2,Percent,2021,0.122241044322263,0.1475538857313358,0.1036335705567554
1,All Population,5,Prevalence,75,Austria,1,Male,32,90-94 years,558,Mental disorders,2,Percent,2021,0.1036467069052764,0.1228187555339563,0.0881870010591562
1,All Population,5,Prevalence,75,Austria,2,Female,32,90-94 years,558,Mental disorders,2,Percent,2021,0.1218716283198234,0.1465154692261427,0.1021423886331623
1,All Population,5,Prevalence,75,Austria,1,Male,235,95+ years,558,Mental disorders,2,Percent,2021,0.1050639586570701,0.1246180100140972,0.0886146062297694
1,All Population,5,Prevalence,75,Austria,2,Female,235,95+ years,558,Mental disorders,2,Percent,2021,0.1231144264172215,0.1470794850116635,0.104202695121729
1,All Population,5,Prevalence,62,Russian Federation,1,Male,1,<5 years,973,Substance use disorders,2,Percent,2021,0.0003579735309709,0.0004959378475101,0.0001400461504127
1,All Population,5,Prevalence,62,Russian Federation,2,Female,1,<5 years,973,Substance use disorders,2,Percent,2021,0.0002723388600472,0.0003695256617675,0.0001956093239432
1,All Population,5,Prevalence,62,Russian Federation,1,Male,6,5-9 years,973,Substance use disorders,2,Percent,2021,0.0003326950684539,0.0004528783538223,0.0001755325436412
1,All Population,5,Prevalence,62,Russian Federation,2,Female,6,5-9 years,973,Substance use disorders,2,Percent,2021,0.0002424264740846,0.0003240137893005,0.0001768574429435
1,All Population,5,Prevalence,62,Russian Federation,1,Male,7,10-14 years,973,Substance use disorders,2,Percent,2021,0.003504892753452,0.0055654485598855,0.0019275664526415
1,All Population,5,Prevalence,62,Russian Federation,2,Female,7,10-14 years,973,Substance use disorders,2,Percent,2021,0.0017706683743576,0.0028615252696084,0.0010287980499517
1,All Population,5,Prevalence,62,Russian Federation,1,Male,8,15-19 years,973,Substance use disorders,2,Percent,2021,0.036695159311499,0.0533311362268208,0.0250873865325715
1,All Population,5,Prevalence,62,Russian Federation,2,Female,8,15-19 years,973,Substance use disorders,2,Percent,2021,0.0182394746243687,0.0267682006433382,0.012012593518975
